The following slacks have been normalized to be non-negative by relaxing the required times to the maximum arrival time.

Largest slack in design: --
Smallest slack in design: --
Total slack in design: 0
Total negative slack: 0


Net #	Driver_tnode	to_node	Slack

    0	 2303		    0	--
    1	 2302		    1	--
    2	 2301		    2	--
    3	 2300		    3	--
    4	 2299		    4	--
    5	 2304		    5	--
    6	 2611		    6	--
    7	 2610		    7	--
    8	 2609		    8	--
    9	 2608		    9	--
   10	 2607		   10	--
   11	 2606		   11	--
   12	 2612		   12	--
   13	 2305		   13	--
   14	   14		11530	--
   15	   15		11688	--
   16	   16		11525	--
   17	   17		11532	--
   18	   18		11524	--
   19	   19		11531	--
   20	   20		11523	--
   21	   21		11528	--
   22	12143		   22	--
			  200	--
			  489	--
			  768	--
			 1085	--
			 1403	--
			 1689	--
			 1989	--
			 2308	--
			 2615	--
			 2911	--
			 3204	--
			 3499	--
			 3816	--
			 4117	--
			 4422	--
			 4741	--
			 5067	--
			 5342	--
			 5647	--
			 5947	--
			 6231	--
			 6699	--
			 7014	--
			 7332	--
			 7652	--
			 7994	--
			 8307	--
			 8620	--
			 8929	--
			 9218	--
			 9526	--
			10033	--
			10500	--
			10793	--
			11090	--
   23	 1399		  182	--
   24	 9784		  183	--
			10184	--
   25	 9817		  184	--
			10191	--
   26	 9799		  185	--
			 9873	--
   27	 9814		  186	--
			 9881	--
   28	11290		  187	--
			  760	--
			 1068	--
			 1384	--
			 1677	--
			 1970	--
			 3180	--
			 3478	--
			 3804	--
			 4105	--
			 4411	--
			 4730	--
			 5052	--
			 5327	--
			 5633	--
			 5932	--
			 6219	--
			 6686	--
			 7000	--
			 7318	--
			 7637	--
			 7981	--
			 8290	--
			 8606	--
			 8915	--
			 9201	--
   29	 6226		  188	--
   30	 6229		  189	--
   31	 9790		  190	--
			 9875	--
   32	 9796		  191	--
			 9874	--
   33	 9787		  192	--
			 9880	--
   34	 9793		  193	--
			 9872	--
   35	  194		  475	--
   36	  195		  481	--
			 1387	--
			 1673	--
			 3189	--
			 3479	--
			 3796	--
			 5050	--
			 5325	--
			 5631	--
			 5929	--
			 6216	--
			 6529	--
   37	  196		  482	--
			 1389	--
			 1674	--
			 3190	--
			 3476	--
			 3802	--
			 4095	--
			 4403	--
			 4723	--
			 5051	--
			 5326	--
			 5632	--
			 5931	--
			 6217	--
			 6530	--
			 6690	--
			 6997	--
			 7326	--
			 7643	--
			 7986	--
			 8295	--
			 8609	--
			 8912	--
			 9205	--
			11065	--
   38	  197		  468	--
			 1390	--
			 1679	--
			 1977	--
			 3182	--
			 3480	--
			 3797	--
			 5035	--
			 5317	--
			 5623	--
			 5924	--
			 6218	--
			 6523	--
   39	  198		 1397	--
			 1979	--
			 2289	--
			 2595	--
			 2891	--
			 3183	--
			 3799	--
			 4406	--
			 4735	--
			 6531	--
			 6685	--
			 7988	--
			 8288	--
			 8602	--
			 8910	--
			 9207	--
			 9505	--
			 9877	--
			10018	--
			10190	--
			10331	--
			11067	--
			11521	--
			11789	--
   40	  199		  467	--
			 1388	--
			 1680	--
			 3181	--
			 3468	--
			 3806	--
			 5034	--
			 5316	--
			 5622	--
			 5930	--
			 6210	--
			 6522	--
   41	 2306		  461	--
			 2600	--
   42	 2909		  462	--
			 2295	--
			 2601	--
   43	 5066		  463	--
   44	 5341		  464	--
   45	 6544		  465	--
   46	 9823		  466	--
			10193	--
   47	 9820		  469	--
			10185	--
   48	 9835		  470	--
			10188	--
   49	 9856		  471	--
			10187	--
   50	 9847		  472	--
